ID,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
70,X360,Electronic Arts,0.51,0.51,0.01,0.13,1.17
70,PS3,Electronic Arts,0.31,0.59,0.02,0.22,1.14
71,X360,Electronic Arts,0.51,0.51,0.01,0.13,1.17
71,PS3,Electronic Arts,0.31,0.59,0.02,0.22,1.14
72,Wii,Ubisoft,0.26,0.75,0.0,0.14,1.14
73,PS2,Electronic Arts,1.5,1.28,0.05,0.46,3.28
73,XB,Electronic Arts,0.71,0.38,0.0,0.05,1.14
74,3DS,Nintendo,0.33,0.37,0.37,0.06,1.13
75,PS3,Konami Digital Entertainment,0.5,0.37,0.1,0.16,1.12
76,NES,Hudson Soft,0.0,0.0,1.1,0.0,1.1
77,X360,Warner Bros. Interactive Entertainment,0.63,0.51,0.0,0.11,1.26
77,PS3,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1
78,GC,Nintendo,0.54,0.21,0.31,0.04,1.1
79,GBA,Atari,0.78,0.29,0.0,0.02,1.09
80,DS,Electronic Arts,0.55,0.43,0.0,0.11,1.08
80,Wii,Electronic Arts,0.62,0.32,0.0,0.1,1.05
81,PS3,Ubisoft,0.47,0.41,0.03,0.18,1.08
81,X360,Ubisoft,0.54,0.35,0.02,0.1,1.01
82,Wii,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
83,PC,Vivendi Games,1.03,0.02,0.0,0.0,1.06
84,DS,Electronic Arts,0.55,0.43,0.0,0.11,1.08
84,Wii,Electronic Arts,0.62,0.32,0.0,0.1,1.05
85,PS,Eidos Interactive,0.58,0.4,0.0,0.07,1.04
86,X360,Tecmo Koei,0.65,0.22,0.05,0.1,1.01
87,PS3,Ubisoft,0.47,0.41,0.03,0.18,1.08
87,X360,Ubisoft,0.54,0.35,0.02,0.1,1.01
88,Wii,Disney Interactive Studios,1.15,0.44,0.0,0.14,1.73
88,X360,Disney Interactive Studios,0.96,0.37,0.0,0.11,1.43
88,PS3,Disney Interactive Studios,0.48,0.35,0.0,0.16,1.0
