Title,Date,Rating,Description,Score
Tom Clancy's Splinter Cell: Pandora Tomorrow,"Mar 28, 2005",M,"Tom Clancy's Splinter Cell: Pandora Tomorrow, the sequel to the stealth-action game Splinter Cell, once again casts you in the role of Sam Fisher, who is sent in to destroy top-secret documentation held in the embassy of militia leader Suhadi Sadono.  Use all-new moves and prototype gear to infiltrate buildings and spare the hostages.  This time, you can take your games of espionage against three other players in online multiplayer mode, in which you choose to play as either a mercenary or spy.  You've got the moves and the gear, now put them to use.",Metascore 93 out of 100
Pac-Man Championship Edition DX,,,"PAC-MAN Championship Edition DX continues to uphold NAMCO BANDAI's tradition of enhancing a classic franchise for today's gamer. Building upon PAC-MAN Championship Edition’s original six courses, the new game features more than 100 varied and mind-boggling mazes to navigate. Several new modes will also be available to test a player's pellet-munching aptitude. In Time Attack Mode, players will vie for the quickest clear time. Fulfill a series of objectives in Mission Mode or compete to devour the most number of ghosts gobbled in Ghost Mode.",Metascore 93 out of 100
Tom Clancy's Splinter Cell,"Nov 9, 2022",M,"Infiltrate terrorists' positions, acquire critical intelligence by any means necessary, execute with extreme prejudice, and exit without a trace.  In Tom Clancy's Splinter Cell, you are Sam Fisher, a highly trained secret operative of the NSA's secret arm: Third Echelon.  Suit up with the latest classified field operative gear and weapons as you travel through diverse mission objectives.  The world's future is in your hands, as cyber terrorism and international tensions are about to explode into WWIII.",Metascore 93 out of 100
Okami,,,"In Okami, the legendary monster Orochi has come back to life and turned the world into a veritable wasteland. Players must assume the role of a wolf, an embodiment of the sun god Amaterasu, which is capable of wielding unimaginable power. The state of the world lies in gamer's hands as they must fight ominous beings and reclaim the earth from a curse that plagues it. It is crucial to help Amaterasu make the world a place where all living creatures can dwell once again. [Capcom]",Metascore 93 out of 100
Mass Effect 3,"Dec 31, 1996",M,"BioWare completes the Mass Effect Trilogy with Mass Effect 3. Earth is burning. Striking from beyond known space, a race of terrifying machines have begun their destruction of the human race. As Commander Shepard, an Alliance Marine, the only hope for saving mankind is to rally the civilizations of the galaxy and launch one final mission to take back the Earth.",Metascore 93 out of 100
Flipnote Studio,,,"[DSiWare]  Let your inner artist loose with Flipnote Studio, an easy to use and surprisingly powerful animation application. Create Flipnotes by using the stylus to write letters and draw pictures, capture sounds using the microphone, and even insert photos captured with the Nintendo DSi Camera. Save a Flipnote with multiple pages that run successively and you've just made an animated Flipnote that works like a flip book! And if you feel like sharing your masterpiece, send it to your Flipnote friends or, if you are a registered Hatena.com user, release it via Flipnote Hatena, an online service run by Japanese Web-service provider Hatena. With such a large set of tools available, you’ll quickly find that there are many ways to enjoy Flipnote Studio. [Nintendo]",Metascore 93 out of 100
Final Fantasy VII Rebirth,"Mar 14, 2006",M,"FINAL FANTASY VII REBIRTH is the  new story in the FINAL FANTASY VII remake project, a reimagining of the iconic original game into three standalone titles by its original creators. In this game, players will enjoy various new elements as the story unfolds, culminating in the party’s journey to “The Forgotten Capital” from the original FINAL FANTASY VII. Cloud and his comrades escape the city of Midgar in pursuit of the fallen hero, Sephiroth. As they travel across the world, they find themselves on a journey that will decide the fate of the planet. In this standalone adventure for fans and newcomers, Cloud and his comrades venture across the planet, their fates unwritten, making each step outside the dystopian city of Midgar fresh and mysterious. [Square Enix]",Metascore 92 out of 100
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,,,"Set before the events of Xenoblade Chronicles 3, join a cast of new and familiar characters in this original story scenario that connects all three instalments in the Xenoblade Chronicles series. Future Redeemed also features new battle mechanics, such as Unity Combo, where two characters can attack in unison.",Metascore 92 out of 100
Bloodborne,"Jun 12, 2008",M,"Bloodborne is an action RPG in which you hunt for answers in the ancient city of Yharnam, now cursed with a strange endemic illness spreading through the streets like a disease. Peril, death and madness infest this dark world, and you're tasked with uncovering its darkest secrets which will be necessary for you to survive. Armed with a singular arsenal of weaponry, including guns and saw cleavers, you'll require wits, strategy and reflexes to dispatch the agile and intelligent enemies that guard the city's underbelly. You will utility holy chalices to access an array of vast underground ruins, chock full of traps, beasts, and rewards, to explore and conquer on your own or with other people.",Metascore 92 out of 100
Vagrant Story,,,"AGENTS OF THE CROWN

Relive an adventurous tale rich with agents, espionage, and conspiracies. Challenge deadly monsters and villains with your steel and magic. Clear your name by uncovering a sinister plot -- or perish in the attempt.

* A dark, cinematic adventure set in a richly detailed 3D world
* Revolutionary battle & status system for incredible real-time attacks and combinations
* Includes SQUARESOFT preview disc with playable demos",Metascore 92 out of 100
The Witcher 3: Wild Hunt,"Mar 23, 2004",T,"With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format.",Metascore 92 out of 100
Demon's Souls,,,"From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality and incredible performance. In his quest for power, the 12th King of Boletaria, King Allant channelled the ancient Soul Arts, awakening a demon from the dawn of time itself, The Old One. With the summoning of The Old One, a colorless fog swept across the land, unleashing nightmarish creatures that hungered for human souls. Those whose souls were stripped from them, lost their minds – left only with the desire to attack the sane that remained. Now, Boletaria is cut off from the outside world, and the knights who dare penetrate the deep fog to free the land from its plight, are never seen again. As a lone warrior who has braved the baneful fog, you must face the hardest of challenges to earn the title “Slayer of Demons” and send The Old One back to its slumber.",Metascore 92 out of 100
Batman: Arkham Asylum,"Nov 17, 2010",E,"In Batman: Arkham Asylum, the player assumes the role of Batman as he delivers The Joker to Arkham Asylum. There, the imprisoned super-villains have set a trap and an immersive combat gaming experience unfolds. With an original script penned by Emmy Award-winning Batman writer Paul Dini, the game brings the universe of DC Comics' detective to life with stunning graphics. Batman: Arkham Asylum offers players the chance to battle Gotham's worst villains with Batman's physical and psychological strength in a graphically distinct and story-driven game. [Eidos Interactive]",Metascore 92 out of 100
Thief: The Dark Project,,,"Sneak through the shadows of 12 treacherous missions including haunted cathedrals, subterranean ruins, and forbidding prisons, in a dark and sinister city. Stalk your prey on the quest for stolen goods with your blackjack, sword and an assortment of unique arrows. Steal for money and uncover the hidden agendas of your allies and enemies as you play through an unravelling story of deception and revenge. Survive in a world where shadows are your only ally, trust is not an option, and confrontation results in death! [Eidos Interactive]",Metascore 92 out of 100
The Witcher 3: Wild Hunt - Blood and Wine,"May 30, 2016",M,"This expansion pack is an old-school add on with 20 hours of new adventures, where players will travel to the land of Toussaint.",Metascore 92 out of 100
Metal Gear Solid 3: Snake Eater,,,"In the struggle to achieve world peace and world dominance, rivaling governments are secretly developing weapons technology that could threaten the future existence of life. Destined to be the first, a race ensues to become the ultimate nation. A special elite tactical soldier is summoned to penetrate deep in the heart of enemy territory and obtain intel about ""Metal Gear,"" a prototype weapon with nuclear capabilities. This is your mission and you must infiltrate alone. Interactive environments where traps catch enemies and prey. Rely on camouflage, combat, hunting and instincts to survive. Set in the 1960s where politics and war are shaping real world history. Blockbuster musical score composed by Harry Gregson-Williams. [Konami]",Metascore 91 out of 100
Kentucky Route Zero - Act III,"Nov 17, 2004",M,"Kentucky Route Zero is a magical realistic adventure game about a secret highway in the caves beneath Kentucky, and the mysterious folks who travel it.",Metascore 91 out of 100
Ninja Gaiden (2004),,,"Ninja Gaiden first debuted in the 1988 and now the young ninja returns. As Ryu Hayabusa, you seek revenge after the Vigor Empire massacres your clan. Skilled in battle actions and ninja moves, you are well prepared to hunt down the Holy Emperor and reclaim the magic sword ""Ryuken."" Ninja Gaiden features killer gameplay, stunning graphics, and new weapons such as the Dragon Sword, warhammer, shurikens, and nunchakus. Plus, there are massive levels filled with enemies and Xbox Live feature will enable future high score tournaments and downloadable content.",Metascore 91 out of 100
Shadow of the Colossus,"May 6, 2014",,"(Also known as ""Wanda and the Colossus"" or ""Wanda to Kyozou"" in Japan)  In Shadow of the Colossus, players take the role of a young man seeking the truth of an ancient tale of power hidden in a mystical land. Shadow of the Colossus is a majestic journey through ancient lands to seek out and destroy gigantic mythical beasts. With a trusty horse at your side, players explore the spacious lands and unearth each Colossi. The uneasy task of defeating a Colossus relies on intelligent puzzle solving and action oriented gameplay. Armed with strong wits, a mystical sword and a sturdy bow, players use cunning and strategy to topple each behemoth. [Sony]",Metascore 91 out of 100
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,,,"A humorous story-driven first-person shooter featuring the beautiful but deadly UNITY operative Cate Archer. Cate must investigate a super-secret Soviet project that, if successful, could bring about a third world war. Armed with an assortment of conventional and experimental weaponry and gadgets, players will explore exotic locales, circumvent devious traps, and contend with deadly agents determined to take Cate out of the spy trade once and for all. [Sierra]",Metascore 91 out of 100
Legacy of Kain: Soul Reaver,"Mar 2, 2004",M,"Cast down to the material world, the mysterious entity 'Raziel' seeks vengeance for betrayal by his master: Kain. Cursed to stalk the dark realms of Nosgoth, he must slay his undead brethren; only then can he absorb their souls for the energy he craves. Moving between the spectral and material plane, Raziel must negotiate puzzles, overcome traps and defy blood-chilling enemies to reach his goal - the final battle with Kain!",Metascore 91 out of 100
NieR: Automata - Game of the YoRHa Edition,,,"Humanity has been driven from the Earth by mechanical beings from another world. In a final effort to take back the planet, the human resistance sends a force of android soldiers to destroy the invaders. Now, a war between machines and androids rages on... A war that could soon unveil a long-forgotten truth of the world.",Metascore 91 out of 100
Dark Souls II,"Feb 6, 2018",T,"Prepare to die... Again. Dare yourself to engage against intense gameplay in a vast world powered by a new engine. Immerse yourself into mind-bending environments filled with new twisted monsters and deadly bosses. A vast array of threats will prey on human senses & phobias - auditory hallucinations, vertigo, acrophobia, etc. More intricate customization options provide weapons and armor tailoring to player style. [Namco Bandai Games]",Metascore 91 out of 100
Diablo III: Ultimate Evil Edition,,,"PlayStation 4 players can now experience the full adventure of Blizzard’s epic action RPG, Diablo III, and the upcoming expansion, Reaper of Souls all from the comfort of their couch in Diablo III: Ultimate Evil Edition! Take on the role of one of six powerful character class Barbarian, Demon Hunter, Monk, Witch Doctor, Wizard, or the all-new Crusader and embark on a dark journey through Acts I-V to save the world of Sanctuary from ancient and sinister forces. With the new DUALSHOCK 4 wireless controller and a custom-designed console interface, players will be outfitted with touch pad functionality and new social features as they engage in pulse-pounding combat with hordes of monsters and acquire items of incredible power.",Metascore 90 out of 100
World of Goo,"Sep 30, 2002",M,"World of Goo is a physics based puzzle / construction game. The millions of Goo Balls that live in the beautiful World of Goo don't know that they are in a game, or that they are extremely delicious. [2D Boy]",Metascore 90 out of 100
NieR: Automata - Become as Gods Edition,,,"NieR: Automata is an action RPG set in a post-apocalyptic world overrun by machine lifeforms and abandoned by mankind. As part of an android army created by humans to reclaim the planet, players will fight their way through the mechanical horde using a collective of close-combat weapons and ranged attacks.",Metascore 90 out of 100
Stephen's Sausage Roll,"Aug 13, 1999",T,The focus of Stephen's Sausage Roll involves nudging sausages around to fully cook them.,Metascore 90 out of 100
Deus Ex,,,"The game that incorporates RPG, action, adventure, and 1st-person shooter genres into a chaotic blend of real-world conspiracies, cliffhangers, and plot twists. A richly simulated world of unparalleled interactivity, engineered to react logically to your every action. The decisions and consequences are yours. [Eidos Interactive]",Metascore 90 out of 100
Blast Corps,"Feb 26, 2019",M,"A pair of defective nuclear missiles, en route to a safe detonation site, has begun to leak. Badly damaged, the carrier automatically locks onto the most direct route. Clear a path to help the carrier arrive safely. Tons of vehicles are at your disposal. Leave nothing standing or the adventure will end in an earth-shattering explosion! Find the hidden technicians to ensure a safe detonation. Strap on your seat belt, it's going to be a bumpy ride.",Metascore 90 out of 100
VIDEOVERSE,,,"Relive the days of past social gaming networks in VIDEOVERSE, a decision-based narrative adventure focusing on character development, friendship and love, from the developer behind One Night Stand.

As Emmett, a young video game fan and aspiring artist, dive into this fictional video game era, where the Kinmoku Shark gaming system and its online social network, Videoverse, were still popular. Strengthen Emmett's friendships, share fan art and browse the lively gaming communities. Make decisions that will change how Emmett grows, his approach to Videoverse and, ultimately, the final outcome!

Will your actions help Videoverse thrive, or will you get caught up in teenage drama, video game fandoms and corporate conspiracies?",Metascore 90 out of 100
DAVE THE DIVER,"Mar 11, 2014",T,"Welcome to 'DAVE THE DIVER', a marine adventure set in the mysterious Blue Hole. Explore the sea with Dave by day, and run a sushi restaurant at night. Uncover the secrets of the Blue Hole, and unwrap this deep sea mystery involving 3 friends, each with distinct personalities. New adventures await.",Metascore 90 out of 100
Okami HD,,,"In Okami, the legendary monster Orochi has come back to life and turned the world into a veritable wasteland. Players must assume the role of a wolf, an embodiment of the sun god Amaterasu, which is capable of wielding unimaginable power. The state of the world lies in gamer's hands as they must fight ominous beings and reclaim the earth from a curse that plagues it. It is crucial to help Amaterasu make the world a place where all living creatures can dwell once again. [Capcom]",Metascore 90 out of 100
Monster Hunter: World,"Aug 19, 2014",M,"In Monster Hunter: World you assume the role of a hunter venturing to a new continent where you track down and slay ferocious beasts in heart-pounding battles. This new land and its diverse inhabitants play a critical role in each quest as you strategically use the surrounding environment including terrain, vegetation and wildlife to your advantage in battle or become hindered by the hazards they present. As a hunter, you must use your cunning and expertise to track and maneuver your targets throughout the intense, evolving battles. [Capcom]",Metascore 90 out of 100
Pushmo,,,"(Also known at ""Pullblox"" in the UK/EU)  Pushmo is a puzzle-action game in which you pull and push blocks to create a place to stand so you can jump up and down on your way to a goal. At first glance, some places may look out of reach, but if you use your head, you just may see a way to the goal...",Metascore 90 out of 100
Freedom Force,"Oct 12, 2008",E,"From a distant corner of the galaxy, an evil alien race sets in motion a sinister plan to conquer the Earth. They unleash a powerful catalyst - Energy X - that imbues the planet's worst miscreants with super-powers to bring the planet to its knees. Now Earth's only hope lies with a new breed of heroes... The Freedom Force! Command a squad of comic book heroes in the defense of Patriot City. Choose from over a dozen heroes or create your own comic champions. Fight for freedom in over 20 action-packed missions. Restore order in a completely interactive 3D world. Take your heroes online and join the fight in multiplayer mode. [Electronic Arts]",Metascore 90 out of 100
Chicory: A Colorful Tale,,,"Something terrible happened. Chicory, superstar artist and wielder of the Brush, is missing, and all the color in the land vanished with her. It's up to you, Chicory's number one fan, to pick up the Brush and fill in for her. It's a big job but you're ready for it! Probably! Chicory: A Colorful Tale is a top-down adventure game in a coloring book world where you can draw on anything. Use your painting powers to explore new places, solve puzzles, help your friends, and change the world!",Metascore 90 out of 100
Sekiro: Shadows Die Twice,"Jun 26, 2018",M,"Your death won’t come easily. Enter the world of late 1500s Sengoku Japan; a brutal, bloody period of constant life-and-death conflict. As tensions rise, a compelling new story unfolds amongst the chaos. Introducing Sekiro: Shadows Die Twice, a dark and twisted new gameplay experience developed by the renowned team at FromSoftware and published by Activision. Directed by Hidetaka Miyazaki, Sekiro: Shadows Die Twice is a third-person, action-adventure game with RPG elements. The single-player game puts players in the protagonist role of a hard-hearted warrior whose mission is to rescue his master, a young lord, and exact revenge on his arch nemesis. As “Sekiro,” or the “one-armed wolf,” players discover the many ways to strategically approach combat and engage enemies. [Activision]",Metascore 90 out of 100
Astro Bot Rescue Mission,,,"Astro Bot Rescue Mission is a platformer, developed exclusively for use with PS VR. Take control of Astro the captain Bot and go on an epic VR rescue mission to save your fellow Bots who are dispersed all over space.",Metascore 90 out of 100
Astro Bot Rescue Mission,"Oct 2, 2018",E10+,"Astro Bot Rescue Mission is a platformer, developed exclusively for use with PS VR. Take control of Astro the captain Bot and go on an epic VR rescue mission to save your fellow Bots who are dispersed all over space.",Metascore 90 out of 100
The Witcher 3: Wild Hunt - Hearts of Stone,,,"Hearts of Stone features over ten hours of new adventures and introduces new characters, powerful monsters, unique romance, and an entirely new storyline shaped by gamer choices. The expansion also introduces a new system of Runewords that significantly affects gameplay. Each Runeword impacts a different aspect of in-game mechanics and allows the players to experiment with various strategies and tactics. [CD Projekt]",Metascore 89 out of 100
Xenoblade Chronicles: Definitive Edition,"Oct 13, 2015",M,"Join the fight between man and machine in the definitive edition of this critically-acclaimed RPG. Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace. Wield a future-seeing blade, chain together attacks, and carefully position your party members in strategic, real-time combat as you journey across a massive world. During an attack from the mechanical invaders known as the Mechon, Shulk discovers that he can tap into the full power of a mysterious blade known as the Monado. With the mighty Monado in hand, Shulk sets out to defeat the Mechon once and for all. In addition to the Mechon, you’ll run into wildlife that ranges from docile to deadly. Keep an eye on what attracts monsters’ attention to avoid unwanted conflict…or try your hand at bringing down an ultra-powerful Unique Monster. Upgrade your party as you progress through the adventure by selecting equipment, enhancing weapon skills, and using benefit-granting gems. Put your dependable companions to work by filling the party gauge to trigger a Chain Attack and attack enemies in quick succession.",Metascore 89 out of 100
Monster Hunter: World - Iceborne,,,"Monster Hunter World: Iceborne is the highly anticipated massive expansion to Monster Hunter: World, the best-selling Capcom title of all time with more than 12 million units shipped worldwide adding to the series total of more than 53 million units to date. This gargantuan follow-up rivals the gameplay volume from the original release and features a new icy setting, storyline, monsters, gameplay options, and more.

The game's all-new story picks up after Monster Hunter: World and whisks hunters away to the newly discovered chilly locale that, once fully explored, becomes the largest region in World so far. The new locale is home to several new and returning monsters ready to challenge hunters throughout their expeditions and raises the stakes with the added higher difficulty Master Rank. Iceborne continues the skill-based progression and robust crafting system found in World and expands that with several new gameplay features that broaden the player's combat repertoire. All this leads to the ultimate hunter test against the mysterious new flagship monster, Velkhana.",Metascore 89 out of 100
Demon's Souls (2009),"May 29, 2020",T,"Demon's Souls promises to be the hardcore action RPG experience PS3 owners have been waiting for since the platform's launch. Revolutionary online features support your adventure like never before, presenting seamless interconnectivity that serves in every instance to enhance the single-player game. Team up with two other players in simultaneous cooperative play, working together to topple some of the game's colossal bosses, or force your way into the games of skilled players and challenge them to PvP battle.  Leave hints and clues for those who will follow in your footsteps; either intentionally or through your own inadvertent demise, your bloodstains will allow your successors to view a replay of your death, hinting at how to avoid your gruesome fate. [Atlus USA]",Metascore 89 out of 100
Fable II,,,"Set 500 years after the original, Fable II provides gamers with an epic story and innovative real-time gameplay, including a massive amount of freedom and choice to explore a vast collection of dungeons, catacombs and caves in the world of Albion. Fable II expands upon the scope and depth of the Xbox classic by adding incredible new features and creating a wider, more complex kingdom of limitless choices and consequences. Players have the option to play as a man or woman, get married, have children, and live a life of their own design. Revisit the sprawling world of Albion more than 500 years after the events of the original Fable, where you are free to explore the landscape and openly roam the countryside. For the right price every house, hut, dungeon and castle is for sale. Players can witness how the world grows and changes in response to their decisions in incredible and unique ways as they rediscover Albion as if for the first time. Fable II pioneers a new combat system designed to allow players to truly master hand weapons such as swords and maces, ranged combat weapons such as cross-bows and guns, and an entirely new magic system. These three disciplines, while very accessible, are also amazingly deep, and allow players to mix combat styles and become everything from master swordsman to skilled ranger to evil magic welder, utilizing a single button on the Xbox 360 controller. [Lionhead]",Metascore 89 out of 100
Thank Goodness You're Here!,"Sep 6, 2019",T,"After arriving early for a big meeting with the mayor of a bizarre Northern English town, a traveling salesman takes the time to explore and meet the locals, who are all very eager to give him a series of increasingly odd jobs...

Thank Goodness You're Here! is a comedy slapformer, which unfolds over time as the players' exploration and antics leave their mark on the strange town of Barnsworth. With each completed odd job, new areas of the town open up, stranger and stranger tasks become available, and the clock ticks towards our salesman's big meeting. The town's colorful inhabitants are brought to life with vibrant hand-drawn animation, fully voiced dialogue, and wall-to-wall double entendres.",Metascore 89 out of 100
Dark Souls III,,,"Developed by Japanese developer FromSoftware, DARK SOULS III is the latest chapter in the DARK SOULS series with its trademark sword and sorcery combat and rewarding action RPG gameplay. Players travel across a wide variety of locations in an interconnected world of unrelenting challenge and deep RPG gameplay as they search for a way to survive the coming apocalypse.",Metascore 89 out of 100
Phantasy Star Online,"Oct 6, 2009",M,"Pioneer 2 finally completed it's long voyage to the new home world. But as the ship entered orbit, an enormous explosion shook the entire planet, and all contact with the thousands of people already there was lost. Now, in the first worldwide online console RPG, players from around the globe must unite to discover what has happened. Phantasy Star Online continues in the tradition of one of the most popular series of all time, and becomes a revolutionary and truly global gaming experience in an online, persistent world.",Metascore 89 out of 100
Jade Empire,,,"Set in an ancient world inspired by mythical China, Jade Empire lets you train under your master's watchful eye as you learn powerful martial arts and mystical powers. When danger threatens, you'll travel across the world, from the harsh mountains of the Land of Howling Spirits to the lush gardens of the Imperial City. In your adventures, you must face powerful human and supernatural foes, learn the exotic and magical martial arts, and discover the darkest secrets of the world. Practice the greatest fighting styles and defeat the most powerful enemies to become a master of martial arts.",Metascore 89 out of 100
Xenoblade Chronicles 3,"Oct 21, 2008",M,"""Fighting to liveand living to fight"" - A brand new RPG adventure awaits in Xenoblade Chronicles 3. Bringing together the futures of Xenoblade Chronicles and Xenoblade Chronicles 2, this title will take players to the world of Aionios, home to two hostile nations.  Keves: a nation where mechanical technology was developed. Their armies are composed of units consisting mainly of combat vehicles. They use units of small, mobile weapons operated by soldiers riding them. 

Agnus: a nation strong in ether, a magical technology. Their forces are built around units that specialise in ether combat, and they fight with small, mobile, autonomous weapons that use ether technology. 

Six soldiers hailing from these nations, will take part in a grand tale with life as its central theme. 

Noah: One of the protagonists of Xenoblade Chronicles 3 and a solider of Keves. Noah is also an ""off-seer"" who mourns for soldiers who've lost their lives on the battlefield. 

Lanz: An ally of Noah's who wields a great sword that doubles as a shield. 

Eunie: A childhood friend of Noah and Lanz who has a sharp tongue and rough personality. She specialises in healing her allies in battle. 

Mio: The other protagonist of this story, Mio is a soldier of Agnus and an off-seer like Noah. 

Taion: A tactician who fights alongside Mio using his smarts and insight. 

Sena: This soldier is an ally of Mio and Taion. Despite her petite figure, Sena wields immense physical strength!",Metascore 89 out of 100
