Title,Date,Rating,Description,Score,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Lord of the Rings: The Return of the King,"Jul 29, 2020",T,"Return to Middle-earth in the only video game based on the epic final chapter of the highly-acclaimed The Lord of the Rings movie trilogy. Developed using the same digital assets as the films, The Return of the King re-creates in stunning detail the final events of the War of the Ring. Become the heroes who determine the fate of Middle-earth as you traverse the haunted Paths of the Dead, defend Minas Tirith from the onslaught of thousands of Sauron's minions, and even play co-op multiplayer with a friend as you march against the impenetrable Black Gates of Mordor. Eight playable characters, including Gandalf, Aragorn, Legolas, Gimli, Sam, and Frodo with exclusive voice-over provided by the films&#8217; actors. The fate of Middle-earth is in your hands. [Electronic Arts]",Metascore 85 out of 100,409,The Lord of the Rings: The Return of the King,PS2,2003.0,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28
LEGO Batman: The Videogame,"Sep 6, 2019",E,"A stampede of notorious criminals have busted out of Arkham Asylum, where Gotham City houses only the shadiest of characters. It's up to the famed Caped Crusader to sweep Gotham clean of criminal activity using everything at his disposal, including crime-fighting vehicles as well as several baddie-bashing bat gadgets. [Warner Bros.]",Metascore 76 out of 100,432,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17
LEGO Batman: The Videogame,"Sep 6, 2019",E,"A stampede of notorious criminals have busted out of Arkham Asylum, where Gotham City houses only the shadiest of characters. It's up to the famed Caped Crusader to sweep Gotham clean of criminal activity using everything at his disposal, including crime-fighting vehicles as well as several baddie-bashing bat gadgets. [Warner Bros.]",Metascore 76 out of 100,437,LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0.0,0.29,3.15
Mass Effect 3,"Dec 31, 1996",M,"BioWare completes the Mass Effect Trilogy with Mass Effect 3. Earth is burning. Striking from beyond known space, a race of terrifying machines have begun their destruction of the human race. As Commander Shepard, an Alliance Marine, the only hope for saving mankind is to rally the civilizations of the galaxy and launch one final mission to take back the Earth.",Metascore 93 out of 100,458,Mass Effect 3,X360,2012.0,Role-Playing,Electronic Arts,1.94,0.86,0.03,0.24,3.07
Tom Clancy's Splinter Cell,"Nov 9, 2022",M,"Infiltrate terrorists' positions, acquire critical intelligence by any means necessary, execute with extreme prejudice, and exit without a trace.  In Tom Clancy's Splinter Cell, you are Sam Fisher, a highly trained secret operative of the NSA's secret arm: Third Echelon.  Suit up with the latest classified field operative gear and weapons as you travel through diverse mission objectives.  The world's future is in your hands, as cyber terrorism and international tensions are about to explode into WWIII.",Metascore 93 out of 100,465,Tom Clancy's Splinter Cell,XB,2002.0,Action,Ubisoft,1.85,1.04,0.0,0.13,3.02
Monster Hunter Tri,"Apr 20, 2010",T,"Monster Hunter Tri sets a new bar in the action/adventure genre with the introduction of new features and game play elements as the multi-million unit selling franchise makes its debut on the Wii system. Monster Hunter Tri depicts a living, breathing ecosystem where man co-exists with fantastic beasts that roam both the land and the sea. Featuring both online and offline cooperative modes, players can join online hunting parties with up to four players or play with two players on a single TV for select quests. Players also have the option to face Monster Hunter Tri's challenging quests as a single player experience accompanied by Cha-Cha, an AI hunting partner whose tracking and trapping skills prove invaluable in the hunt. New items, weapons and armor sets will also be available to assist the hunters as they embark on the most incredible Monster Hunter adventure to date. [Capcom]",Metascore 84 out of 100,537,Monster Hunter Tri,3DS,2011.0,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79
Onimusha: Warlords,"Jan 20, 2022",E,"As power-hungry warlords battle one another for control of feudal Japan, a young princess is kidnapped. Now, one lone swordsman, Samanosuke, boldly volunteers to rescue and avenge her. An entire legion of demon warriors stands between you and the princess, so you'll need all your weapons and magic to break through. The world of Onimusha: Warlords comes alive with waterfalls, wind effects, insects, and weather, but in order to triumph, you must stay focused on your mission.",Metascore 71 out of 100,553,Onimusha: Warlords,PS2,2001.0,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7
Tom Clancy's Splinter Cell,"Nov 9, 2022",M,"Infiltrate terrorists' positions, acquire critical intelligence by any means necessary, execute with extreme prejudice, and exit without a trace.  In Tom Clancy's Splinter Cell, you are Sam Fisher, a highly trained secret operative of the NSA's secret arm: Third Echelon.  Suit up with the latest classified field operative gear and weapons as you travel through diverse mission objectives.  The world's future is in your hands, as cyber terrorism and international tensions are about to explode into WWIII.",Metascore 93 out of 100,571,Tom Clancy's Splinter Cell,PS2,2003.0,Action,Ubisoft,1.15,1.11,0.0,0.4,2.65
Harry Potter and the Chamber of Secrets,"Feb 22, 2018",E,"Players enter fantastical free-roaming 3D environments from Harry's world. Players become Harry Potter and delve not only into Harry's world, but also into his personality, via an internal ""voice."" Conversing with unique characters like Moaning Myrtle, shopping in Diagon Alley, and exploring the convoluted corridors of Hogwarts, players make crucial and independent decisions within Harry's world. Additionally, Harry can, of course, cast spells against foes - but these spells must be perfectly executed, or they could be miscast with humorous or critical consequences! Mini-games within levels can be revisited, so players can help Mrs. Weasley with ""de-gnoming"" her garden, challenge other students in Professor Lockhart?s Dueling Club, or complete other mini-games again and again. [EA Games]",Metascore 71 out of 100,587,Harry Potter and the Chamber of Secrets,PS2,2002.0,Action,Electronic Arts,0.9,1.22,0.04,0.44,2.61
Monster Hunter Freedom 2,"Nov 4, 2004",T,"The hunt-or-be-hunted adventure continues with more content and options than ever before.  Monster Hunter Freedom 2 builds on Monster Hunter2 (Dos) for the PS2 (previously released in Japan only) and contains 50% more content than the original Monster Hunter Freedom. In this unique action-adventure game, gamers increase their play skills as they battle through breath-taking environments while defeating bloodthirsty creatures. As mighty hunters, players can face a variety of quests alone, but the true spirit of the game comes from playing with others. Multiplayer cooperative battles for up to four friends via wireless ad hoc mode foster team building and strategy for the ultimate battle of man vs. beast. Players can fully customize their characters, building up their abilities with armor and weaponry as they make their way through hundreds of quests. With the addition of infrastructure functionality, players will now be able to download even more content and quests. [Capcom]",Metascore 72 out of 100,596,Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.58
Marvel: Ultimate Alliance,"Nov 4, 2008",E,"Marvel: Ultimate Alliance is an action/RPG that features the largest roster of comic book characters ever seen in a video game.  Players assume the roles of more than 20 Marvel Super Heroes including Spider-Man, Wolverine, Blade and Captain America, and through their actions determine the fate of both planet Earth and the Marvel universe – revealed in one of multiple epilogues. Marvel: Ultimate Alliance offers total team customization, where players create their own team name, icon and vehicle, as well as establish their team reputation as they play throughout the story.  Gamers also have the option to level up each character individually to their liking, or all team members at the same time to keep their heroes balanced.  With the game's new combat system, players battle against the world's most notorious Marvel Super Villains in the air, underwater, and on the ground, using grappling, blocking and dodging moves, by charging up their Super Hero powers before unleashing them, and using environmental objects as one and two-handed weapons. Marvel:  Ultimate Alliance features a storyline where the missions players accept, the objectives they complete, and their interactions with other characters throughout the game directly impact how the story plays out. The game also features a robust multiplayer component where fans can band together with friends as their favorite Marvel Super Heroes, and fight evil in both on and offline cooperative story modes.  There's also a Competitive Mode where the game tracks various in-game stats so players can see how well they stack up against one another – affecting the amount of experience points earned and how equipment is distributed. [Activision]",Metascore 82 out of 100,614,Marvel: Ultimate Alliance,X360,2006.0,Role-Playing,Activision,2.29,0.02,0.0,0.19,2.5
Bloodborne,"Jun 12, 2008",M,"Bloodborne is an action RPG in which you hunt for answers in the ancient city of Yharnam, now cursed with a strange endemic illness spreading through the streets like a disease. Peril, death and madness infest this dark world, and you're tasked with uncovering its darkest secrets which will be necessary for you to survive. Armed with a singular arsenal of weaponry, including guns and saw cleavers, you'll require wits, strategy and reflexes to dispatch the agile and intelligent enemies that guard the city's underbelly. You will utility holy chalices to access an array of vast underground ruins, chock full of traps, beasts, and rewards, to explore and conquer on your own or with other people.",Metascore 92 out of 100,662,Bloodborne,PS4,2015.0,Action,Sony Computer Entertainment,1.0,0.76,0.26,0.36,2.38
Kinect Sports: Season Two,"Feb 28, 2017",T,"&quot;Kinect Sports: Season Two&quot; pulls the whole family off the couch and turns your living room into a world-class sports arena where intuitive, full-body gameplay and friendly competition reign supreme. Following the top-selling and award-winning &quot;Kinect Sports: Season Two,&quot; the second season amps up the action and delivers sporting gameplay like you’ve never seen — or felt — before!",Metascore 66 out of 100,671,Kinect Sports: Season Two,X360,2011.0,Sports,Microsoft Game Studios,1.38,0.74,0.02,0.22,2.36
James Bond 007: Everything or Nothing,"Apr 11, 2017",T,"Think like Bond, act like Bond, and experience an entirely new Bond adventure.  James Bond, the world's greatest secret agent, returns in Everything or Nothing with new guns and gadgets, combat skills, and clever tricks--and it's up to you to put them to good use.  Travel through four exciting continents including the Valley of the Kings in Egypt and the French Quarter in New Orleans.  The game also features two-player co-op missions and four-player multiplayer arena modes.",Metascore 83 out of 100,687,James Bond 007: Everything or Nothing,PS2,2004.0,Shooter,Electronic Arts,0.85,1.06,0.09,0.32,2.31
Onimusha 2: Samurai's Destiny,"Sep 30, 2021",T,"Return to the magical days of feudal Japan and join Jubei, a young warrior, as he launches an epic, magical quest, only to reveal his ultimate destiny! [Capcom]",Metascore 84 out of 100,716,Onimusha 2: Samurai's Destiny,PS2,2002.0,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25
Monster Hunter Tri,"Apr 20, 2010",T,"Monster Hunter Tri sets a new bar in the action/adventure genre with the introduction of new features and game play elements as the multi-million unit selling franchise makes its debut on the Wii system. Monster Hunter Tri depicts a living, breathing ecosystem where man co-exists with fantastic beasts that roam both the land and the sea. Featuring both online and offline cooperative modes, players can join online hunting parties with up to four players or play with two players on a single TV for select quests. Players also have the option to face Monster Hunter Tri's challenging quests as a single player experience accompanied by Cha-Cha, an AI hunting partner whose tracking and trapping skills prove invaluable in the hunt. New items, weapons and armor sets will also be available to assist the hunters as they embark on the most incredible Monster Hunter adventure to date. [Capcom]",Metascore 84 out of 100,720,Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25
Mario Sports Mix,"Apr 8, 2014",E10+,A variety of sports games featuring your favorite Nintendo characters.,Metascore 64 out of 100,783,Mario Sports Mix,Wii,2010.0,Sports,Nintendo,0.9,0.45,0.63,0.13,2.11
Parasite Eve,"May 29, 2018",E10+,"One of them is a police officer. The other is possessed by an ancient evil threatening all life on Earth. The horrifying bond between them will continue until something dies. A chilling adventure that could only come from the creators of Final Fantasy VII. An epic sci-fi tale told through stunning 3D rendered sequences. Battle mutant monsters in real-time polygon combat. Customize weapons, armor, and character abilities.",Metascore 81 out of 100,787,Parasite Eve,PS,1998.0,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1
Metal Gear Solid: Peace Walker,"Jul 29, 2022",T,"METAL GEAR SOLID: PEACE WALKER takes the series in an exciting new direction with incredible visuals, as it sheds new light on well-known adversaries and allies, along with a wealth of new characters. In true METAL GEAR SOLID tradition, METAL GEAR SOLID: PEACE WALKER drops the player into a series of hostile scenarios, as a terrible plan for world domination is revealed. In addition to solo operations, players can team up via the game's multi-player CO-OPS (CO-operative OPerationS) mode. This extends to key gameplay advances, with players administering medical help to colleagues, sharing munitions, or providing cover for each other using the Snake formation to cover each other's blind spots. [Konami]",Metascore 89 out of 100,800,Metal Gear Solid: Peace Walker,PSP,2010.0,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09
Kingdom Hearts: Birth by Sleep,"Oct 21, 2020",T,"Long before Sora was chosen by his Keyblade, the worlds' safety lay in the hands of the true Keyblade Masters. Three youths - Terra, Ventus and Aqua - have been training long and hard under Master Eraqus to prove that they, too, exhibit the Mark of Mastery. But they will soon find themselves in the middle of a crisis affecting worlds far beyond their own - just as another Keyblade Master, Xehanort, goes mysteriously missing. Three friends, three destinies. Everything will link back to the beginning.",Metascore 82 out of 100,811,Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07
Harry Potter and the Chamber of Secrets,"Feb 22, 2018",E,"Players enter fantastical free-roaming 3D environments from Harry's world. Players become Harry Potter and delve not only into Harry's world, but also into his personality, via an internal ""voice."" Conversing with unique characters like Moaning Myrtle, shopping in Diagon Alley, and exploring the convoluted corridors of Hogwarts, players make crucial and independent decisions within Harry's world. Additionally, Harry can, of course, cast spells against foes - but these spells must be perfectly executed, or they could be miscast with humorous or critical consequences! Mini-games within levels can be revisited, so players can help Mrs. Weasley with ""de-gnoming"" her garden, challenge other students in Professor Lockhart?s Dueling Club, or complete other mini-games again and again. [EA Games]",Metascore 71 out of 100,855,Harry Potter and the Chamber of Secrets,GBA,2002.0,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99
Tenchu: Stealth Assassins,"Mar 28, 2006",E10+,"Prowl and strike with lethal precision as ninja assassins Rikimaru or Ayame in the shadowy world of feudal Japan. Armed with mystical weapons and sheer cunning, you must shed blood with discretion and move without detection. For only the unseen survive. Master dozens of motion-captured ninja moves as you disembowel fearsome samurai, wild beasts, and evil demons. Wield 20 stunning death-dealing devices, including throwing stars, grappling hooks, caltrops and more. Stalk the towns, temples, forests, caves and dungeons of 16th century Japan in 10 deadly missions.",Metascore 87 out of 100,853,Tenchu: Stealth Assassins,PS,1997.0,Action,Activision,0.95,0.64,0.27,0.13,1.99
Harry Potter and the Chamber of Secrets,"Feb 22, 2018",E,"Players enter fantastical free-roaming 3D environments from Harry's world. Players become Harry Potter and delve not only into Harry's world, but also into his personality, via an internal ""voice."" Conversing with unique characters like Moaning Myrtle, shopping in Diagon Alley, and exploring the convoluted corridors of Hogwarts, players make crucial and independent decisions within Harry's world. Additionally, Harry can, of course, cast spells against foes - but these spells must be perfectly executed, or they could be miscast with humorous or critical consequences! Mini-games within levels can be revisited, so players can help Mrs. Weasley with ""de-gnoming"" her garden, challenge other students in Professor Lockhart?s Dueling Club, or complete other mini-games again and again. [EA Games]",Metascore 71 out of 100,856,Harry Potter and the Chamber of Secrets,PS,2002.0,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98
Star Fox Adventures,"Mar 14, 2001",M,"General Scales has unleashed powers that are tearing apart the once-peaceful Dinosaur Planet. With the survival of his home planet at risk, Fox McCloud receives an urgent message to battle Scales and his vast army of SharpClaws. As Fox, you'll gain support from Star Fox Team members Slippy, Peppy, and Rob. You must rely on the mystical powers of a unique staff as you battle Scales' minions, befriend peaceful plant-eaters, and encounter eerie spirits that hold the key to the planet's survival.",Metascore 82 out of 100,921,Star Fox Adventures,GC,2002.0,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87
Dragon's Dogma,"Sep 24, 2019",M,"A legend is born in this open-world adventure. Assume the role of the Arisen, a legendary hero in a land haunted by a feared, omnipotent dragon. As you fight to protect your homeland, you will pick up companions, make enemies, and find yourself embroiled in an even deeper mystery.",Metascore 75 out of 100,979,Dragon's Dogma,PS3,2012.0,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78
The Getaway: Black Monday,"Oct 16, 2000",T,"The Getaway: Black Monday leaves it up to the player to decide how to play and how the story ends, from choosing how to complete missions, to deciding how to get to the next real London location. In The Getaway: Black Monday, the narrative will progress backward and forward in time, both in gameplay and movie sequences. One story unfolds from three unique perspectives, as the paths of the characters entwine. The story begins with a chain of events that takes place two years after the demise of the most notorious crime boss of London's East End, Charlie Jolson. A simple bank job goes wrong ? a small-time thug gets in way over his head and a cop is out for revenge ? sending two sides of the same tale into a collision course for an explosive showdown. By choosing which path to take, players will make critical decisions that influence the final outcome of the game. [SCEA]",Metascore 57 out of 100,976,The Getaway: Black Monday,PS2,2004.0,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78
Disney Infinity,"May 14, 2002",M,"In Disney's most ambitious video game initiative ever, Disney Infinity introduces an all-new game universe where a spark of imagination unlocks a fantastical world where players have unprecedented freedom and endless opportunity to create stories and play experiences starring the beloved characters from Walt Disney and Pixar Animation Studios' most popular franchises.",Metascore 74 out of 100,1031,Disney Infinity,Wii,2013.0,Action,Disney Interactive Studios,1.15,0.44,0.0,0.14,1.73
Big Beach Sports,"Dec 7, 2009",T,"Big Beach Sports drops players into a seaside resort setting where up to four players can compete in sports including volleyball, soccer, American football, bocce, disc golf and cricket. The single player tournament structure encourages players to master each sport through the use of creative control combinations and real-life sport motions. [THQ]",Metascore 44 out of 100,1086,Big Beach Sports,Wii,2008.0,Sports,THQ,0.45,1.02,0.0,0.2,1.67
Ms. Pac-Man,"May 26, 2022",E,"[Xbox Live Arcade]  Guide Ms. Pac-Man through mazes, munching Pac-Dots and Power Pellets to clear each stage. Remains true to the classic arcade version, including ghosts, dot chomping action, and Ms. Pac-Man's original ""waka waka"" sounds. Full of hilarious antics as you avoid moving fruits and smart monsters through the fun filled mazes. Munch a Power Pellet to momentarily turn ghosts blue. When ghosts are blue, Ms. Pac-Man can eat them for bonus points.. Play all 255 mazes from the original. Free trial demo provides players with the first 2 levels of the game. Gamers can track their high scores on the Ms. Pac-Man leaderboards and strive to garner all 12 Achievements. [Namco Bandai Games]",Metascore 65 out of 100,1108,Ms. Pac-Man,2600,1981.0,Puzzle,Atari,1.54,0.1,0.0,0.02,1.65
Dig Dug,"Nov 12, 2002",T,"[Xbox Live Arcade]  Experience the fast-paced action of this quarter-cruncher from 1982 as you take control of Dig Dug himself and vanquish Pookas and Fygars. Using your trusty pump, inflate your enemies until they pop, or squash them under rocks. Don't hesitate, or you could get squashed yourself. Drive your high score up by taking out enemies further underground, or making more difficult kills. Dig! Propel Dig Dug through underground tunnels as he hunts down monsters. The more dirt you move, the more points you get. Watch out for treacherous rocks and use them to your advantage. Fight! Just because your enemies start in tunnels doesn't mean they have to stay there. Watch out for them sneaking up on you and make them pay! Collect! Drop more than two rocks and look for icons to start appearing in the center of the map! Collect these items, including the ship from the Xbox Live Arcade game Galaga, to drive your score higher. [Microsoft]",Metascore 65 out of 100,1117,Dig Dug,2600,1982.0,Puzzle,Atari,1.52,0.1,0.0,0.02,1.64
Star Wars: The Force Unleashed II,"Aug 31, 2004",M,"With Star Wars: The Force Unleashed II, the epic story continues as players once again assume the role of the devastatingly powerful Starkiller - Darth Vader's secret apprentice set during the largely unexplored era between Star Wars: Episode III Revenge of the Sith and Star Wars: Episode IV A New Hope.",Metascore 61 out of 100,1205,Star Wars: The Force Unleashed II,PS3,2010.0,Action,LucasArts,0.8,0.53,0.0,0.22,1.55
Tom Clancy's Splinter Cell: Pandora Tomorrow,"Mar 28, 2005",M,"Tom Clancy's Splinter Cell: Pandora Tomorrow, the sequel to the stealth-action game Splinter Cell, once again casts you in the role of Sam Fisher, who is sent in to destroy top-secret documentation held in the embassy of militia leader Suhadi Sadono.  Use all-new moves and prototype gear to infiltrate buildings and spare the hostages.  This time, you can take your games of espionage against three other players in online multiplayer mode, in which you choose to play as either a mercenary or spy.  You've got the moves and the gear, now put them to use.",Metascore 93 out of 100,1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004.0,Action,Ubisoft,0.82,0.59,0.0,0.07,1.48
Dirge of Cerberus: Final Fantasy VII,"Mar 22, 2011",T,"The time has come to cleanse this world. Hunt down the unworthy...and show them no mercy. Three years have passed since the events of FINAL FANTASY VII. Buried alive following the Meteor disaster, a mysterious group known as the DG (Deepground) Soldiers emerges and begins raiding the city. The enigmatic Vincent Valentine is somehow connected to these attacks, and he may be the only one who can save this shattered world. When the world is engulfed in darkness, his gun will toll a dreadful dirge... Other characters from FINAL FANTASY VII join Vincent on his journey, and as the story unfolds, you will bear witness to shocking truths never revealed in the original game.",Metascore 57 out of 100,1279,Dirge of Cerberus: Final Fantasy VII,PS2,2006.0,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48
Star Wars: The Force Unleashed II,"Aug 31, 2004",M,"With Star Wars: The Force Unleashed II, the epic story continues as players once again assume the role of the devastatingly powerful Starkiller - Darth Vader's secret apprentice set during the largely unexplored era between Star Wars: Episode III Revenge of the Sith and Star Wars: Episode IV A New Hope.",Metascore 61 out of 100,1295,Star Wars: The Force Unleashed II,X360,2010.0,Action,LucasArts,0.95,0.4,0.0,0.12,1.47
Metal Gear Rising: Revengeance,"May 18, 2005",E10+,"Metal Gear Rising: Revengeance brings the infamous Metal Gear franchise into new territory by delivering a novel action experience. Coupling development teams at Kojima Productions and PlatinumGames, Revengeance was made with the goal of providing players with a fresh synergetic experience that combines the best elements of pure action and epic storytelling, all within the expansive Metal Gear universe. The game introduces Raiden as the lead character; a young soldier transformed into a half-man, half-machine cyborg ninja, equipped with a high-frequency katana blade and a soul fueled by revenge.",Metascore 80 out of 100,1293,Metal Gear Rising: Revengeance,PS3,2013.0,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
Mass Effect 3,"Dec 31, 1996",M,"BioWare completes the Mass Effect Trilogy with Mass Effect 3. Earth is burning. Striking from beyond known space, a race of terrifying machines have begun their destruction of the human race. As Commander Shepard, an Alliance Marine, the only hope for saving mankind is to rally the civilizations of the galaxy and launch one final mission to take back the Earth.",Metascore 93 out of 100,1311,Mass Effect 3,PS3,2012.0,Role-Playing,Electronic Arts,0.63,0.59,0.03,0.21,1.46
